MOUSE ID,B1,B2,B3,L1,L2,L3,D1,D2,D3
364,0,0,0,180,180,180,0,0,0
365,0,0,0,180,180,180,0,0,0
366,0,0,0,180,180,180,0,0,0
367,0,0,0,180,180,180,0,0,0
368,0,0,0,180,180,180,0,0,0
369,0,0,0,180,180,180,0,0,0
370,0,0,0,180,180,180,0,0,0
371,0,0,0,180,180,180,0,0,0
372,0,0,0,180,180,180,0,0,0
373,0,0,0,180,180,180,0,0,0
374,0,0,0,180,180,180,0,0,0
375,0,0,0,180,180,180,0,0,0
376,0,0,0,180,180,180,0,0,0
377,0,0,0,180,180,180,0,0,0
378,0,0,0,180,180,180,0,0,0
379,0,0,0,180,180,180,0,0,0
380,0,0,0,180,180,180,0,0,0
381,0,0,0,180,180,180,0,0,0
382,0,0,0,180,180,180,0,0,0
383,0,0,0,180,180,180,0,0,0
384,0,0,0,180,180,180,0,0,0
385,0,0,0,180,180,180,0,0,0
386,0,0,0,180,180,180,0,0,0
387,0,0,0,180,180,180,0,0,0
388,0,0,0,180,180,180,0,0,0
389,0,0,0,180,180,180,0,0,0
390,0,0,0,180,180,180,0,0,0
391,0,0,0,180,180,180,0,0,0
392,0,0,0,180,180,180,0,0,0
393,0,0,0,180,180,180,0,0,0
394,0,0,0,180,180,180,0,0,0
395,0,0,0,180,180,180,0,0,0
396,0,0,0,180,180,180,0,0,0
397,0,0,0,180,180,180,0,0,0
398,0,0,0,180,180,180,0,0,0
399,0,0,0,180,180,180,0,0,0
400,0,0,0,180,180,180,0,0,0
401,0,0,0,180,180,180,0,0,0
402,0,0,0,180,180,180,0,0,0
403,0,0,0,180,180,180,0,0,0
404,0,0,0,180,180,180,0,0,0
405,0,0,0,180,180,180,0,0,0
406,0,0,0,180,180,180,0,0,0
407,0,0,0,180,180,180,0,0,0
408,0,0,0,180,180,180,0,0,0
409,0,0,0,180,180,180,0,0,0
410,0,0,0,180,180,180,0,0,0
411,0,0,0,180,180,180,0,0,0
412,0,0,0,180,180,180,0,0,0
413,0,0,0,180,180,180,0,0,0
414,0,0,0,180,180,180,0,0,0
415,0,0,0,180,180,180,0,0,0
416,0,0,0,180,180,180,0,0,0
417,0,0,0,180,180,180,0,0,0
418,0,0,0,180,180,180,0,0,0
419,0,0,0,180,180,180,0,0,0
420,0,0,0,180,180,180,0,0,0
421,0,0,0,180,180,180,0,0,0
422,0,0,0,180,180,180,0,0,0
